序号,股票代码,股票简称,每股收益,营业收入-营业收入,营业收入-同比增长,营业收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
95,688203,海正生材,0.07,175316895.2,39.8518782472,12.045,9938146.65,-28.98,50.2598,4.367696581161,1.51,0.292455177012,14.1719826441,化纤行业,2022-07-28
96,603055,台华新材,0.13,945276449.0,27.9236186893,-20.485,114759602.5,17.2,32.6638,4.378494152468,2.97,0.295613054717,26.6035409574,纺织服装,2022-07-28
97,301330,熵基科技,0.2633,432406206.03,1.3538883391,-22.8608,29319200.73,51.16,-31.0974,12.572354108599,2.1148,-0.156051222962,43.1000208094,软件开发,2022-07-28
98,301171,易点天下,0.24,790010147.98,-4.3591286378,-16.6198,93233103.5,9.11,55.1248,4.495495517581,5.37,0.225643533183,20.8708841059,互联网服务,2022-07-28
99,870298,中网华信,-0.07,3952172.67,-22.8854859694,,-3344759.53,44.4906268979,,2.630072041733,-2.48,-0.410158658426,32.3768275539,,2022-07-27
100,688292,浩瀚深度,-0.02,58412903.98,18.5261310685,-64.848,-2904880.66,-316.12,-109.5372,3.078379635669,-0.77,-0.684262806635,57.5292947796,互联网服务,2022-07-27
101,600506,统一股份,-0.055,671748907.35,4668.6252171693,184.0116,-8146898.63,-367.8392695364,71.6435,1.587196895232,-3.42,0.039537857456,17.1006856793,农牧饲渔,2022-07-27
102,301338,凯格精机,0.35,159593193.18,-0.9511133852,-22.3727,20084171.86,-29.99,-23.1085,8.229532964386,4.37,-0.547928796491,43.6508045374,专用设备,2022-07-27
103,001339,智微智能,,636360712.39,46.6021521697,-22.7984,38894622.01,41.25,-17.6105,4.399243260535,4.89,0.172177636962,17.1496774102,计算机设备,2022-07-27
104,839683,鑫亿鼎,0.12,21081449.28,-32.5863472255,,10153409.78,364.26,,3.580090199942,4.17,0.075345706037,40.7200092649,,2022-07-26
105,688041,海光信息,0.0709,967441078.35,529.7617047658,1.7891,143457665.75,257.6776051688,-29.2264,2.774470204829,2.6031,-0.364044036076,64.9564822813,半导体,2022-07-26
106,430718,合肥高科,0.11,215161063.47,18.9119838875,-20.6846,7241008.5,-47.5839278199,-56.6301,4.308412915588,2.5,-0.061464703971,10.0808989509,电子元件,2022-07-26
107,301152,天力锂能,0.64,678845377.47,100.8346165206,21.1494,58605913.03,59.7902998651,31.7586,9.589470274728,,-1.40199046948,15.2189739017,电池,2022-07-26
108,001222,源飞宠物,0.5708,349661447.27,40.3597427483,49.3918,58362367.17,63.44,158.0119,5.981913781125,10.01,-0.061962043521,26.4630001284,家用轻工,2022-07-26
109,870176,合肥高创,,4939362.41,,,-124835.15,,,3.174306059751,,0.055342684677,23.393968575,,2022-07-22
110,834261,一诺威,0.26,1577742046.87,-13.8540882268,-19.1821,68235766.16,-25.0582980204,105.2194,4.230077761753,5.81,-0.28336521206,11.6323529448,化学制品,2022-07-22
111,688273,麦澜德,0.2811,74569991.7,23.0701033844,-32.8401,21084503.33,3.9475016023,-48.3729,5.1468531904,5.63,-0.081910346,73.1347586565,医疗器械,2022-07-22
112,301278,快可电子,,248317455.37,101.706060657,30.2166,20869706.56,85.4284902796,27.7682,8.530261906875,5.23,-0.669663174583,16.1929993363,光伏设备,2022-07-22
113,301132,满坤科技,0.23,259512891.28,6.6796828193,-21.5045,25943137.27,-3.65,-16.771,6.146864044304,3.89,0.320696034539,20.8051557993,电子元件,2022-07-22
114,688205,德科立,0.45,205202272.1,23.0659795942,20.5118,32584874.61,9.66,2.841,9.637337228618,4.77,0.35876930784,34.293180665,光学光电子,2022-07-21
115,688022,瀚川智能,0.01,99101652.75,16.9473024953,-61.4112,1587748.47,153.61,-89.4803,8.66328511458,0.17,-0.127706361735,27.4187895217,专用设备,2022-07-20
116,301333,诺思格,0.59,170242153.31,18.280473591,2.5105,26751469.21,15.39,-6.4741,9.193875630444,6.14,0.093239218889,37.8580767729,医疗服务,2022-07-20
117,688380,中微半导,0.08,215701246.42,27.6505034455,35.7588,27165709.79,-52.77,-91.0123,3.965313411113,2.05,-0.463443232019,52.8109684903,半导体,2022-07-19
118,688373,盟科药业,-0.1,10686996.6,,392.4656,-51037472.73,44.14,49.3526,0.753589280514,-12.0,-0.113471958128,85.1435891727,生物制品,2022-07-19
119,301318,维海德,0.58,128045090.0,,-15.0704,30041707.95,-42.67,19.7484,11.077212568201,5.36,0.171693735303,46.3137912902,消费电子,2022-07-19
120,301197,工大科雅,-0.09,25107173.27,52.853146785,-87.2672,-8394769.55,-21.3,-112.0464,6.305280039378,-1.46,-0.771671847022,37.501920263,软件开发,2022-07-19
121,001229,魅视科技,0.2,36592101.43,15.0071663469,-61.6102,14649872.71,7.85,-60.164,4.6506592944,4.31,-0.0570252768,78.036643057,消费电子,2022-07-19
122,603201,常润股份,0.49,736348007.39,6.5797276739,-2.4866,29121355.91,16.0787961348,-33.975,10.55841388108,4.74,1.163305337135,16.2664445096,汽车零部件,2022-07-18
123,301095,广立微,-0.08,13726440.59,88.9760712704,-83.7221,-12587153.79,-19.81,-133.2956,2.3640844654,-3.5,0.099137276133,69.9379618996,半导体,2022-07-18
124,833230,欧康医药,0.27,87670210.23,41.5019947473,-16.1138,15268355.86,87.0471101678,30.0199,2.765410207342,10.08,0.516255716115,29.793161453,生物制品,2022-07-15
125,301308,江波龙,0.44,2330322135.09,-5.7681809385,12.5622,162139559.99,-20.75,149.3686,12.185635639853,3.65,-0.890259915263,16.8750799556,半导体,2022-07-15
126,301121,紫建电子,0.44,157506829.92,-3.174817622,-28.1159,23422034.36,-22.87,253.7546,12.080005051751,3.72,0.317964314747,27.9894825782,电池,2022-07-15
127,688371,菲沃泰,0.03,95896710.31,56.4042911038,-46.531,7754728.06,46.17,-66.929,1.896202457608,1.67,0.111905638985,49.8268708129,电子元件,2022-07-14
128,600740,山西焦化,0.4379,3117020180.85,33.0065933937,2.3796,1122018973.55,73.72,291.52,5.18954267992,8.81,0.04041038685,0.6811637913,煤炭行业,2022-07-14
129,688130,晶华微,0.48,53775932.1,15.2806836787,36.3428,23933649.32,11.1255047074,65.7873,7.774543772236,,-0.434619935296,71.0550063529,半导体,2022-07-12
130,301195,北路智控,0.5,137637535.36,27.922844683,-21.9304,32795665.36,36.69,-29.7795,8.074187567166,6.39,-0.355154333573,50.7722278572,软件开发,2022-07-12
131,870866,绿亨科技,0.04,70039217.74,-1.9113869984,-32.8722,4912449.11,-31.3315983799,-70.5684,2.823491690943,1.48,-0.195084087919,45.3862771398,农药兽药,2022-07-11
132,688253,英诺特,0.26,69495587.09,-46.1231541874,11.1338,26354180.71,-61.85,71.6607,7.492336282669,3.51,0.128151009592,65.5168519852,生物制品,2022-07-11
133,603255,鼎际得,0.37,217928385.85,23.2061437604,4.2002,37184671.88,12.1738072101,-21.2108,7.74687397043,4.92,0.302460764935,29.6907782929,化学制品,2022-07-11
134,301269,华大九天,,97006642.75,51.8608935185,-58.64,10483277.75,64.34,-83.2216,2.324899563884,1.19,0.303266750909,97.862381646,软件开发,2022-07-11
135,001231,农心科技,0.4,165629487.04,26.8331901465,11.8314,30072645.43,7.46,15.1787,6.240456066667,6.64,-0.2188367276,35.4072425919,农药兽药,2022-07-11
136,600596,新安股份,1.4974,6502321451.47,70.8596789174,14.874,1225431747.81,336.71,16.3278,12.432807984575,12.82,0.764817010204,27.9795245067,农药兽药,2022-07-09
137,300133,华策影视,0.06,470777779.28,-59.7986375605,-57.3007,113976865.13,-16.9,49.2654,3.493479572878,1.71,-0.009908565649,46.8613111386,文化传媒,2022-07-09
138,000972,ST中基,-0.0065,24893658.36,,-85.1018,-4986755.44,75.0409533502,90.4038,0.083292900548,-7.47,0.055720817272,23.4204495606,食品饮料,2022-07-09
139,830806,亚锦科技,,1276991880.94,,,302780682.8,,,0.334972948663,,0.038519248463,53.868254107,,2022-07-08
140,839273,一致魔芋,0.32,97745382.51,-9.9451197167,-36.219,18350686.8,32.0818794836,8.6903,5.701612940287,5.68,0.209959105772,27.2144163815,食品饮料,2022-07-07
141,688382,益方生物,-0.26,,,,-119878249.53,79.2,-31.5016,1.245036442609,-19.06,-0.217117150804,,生物制品,2022-07-06
142,603211,晋拓股份,0.09,210441330.22,19.9345036481,-28.7501,18178406.62,20.3789453972,-36.0459,3.326073451113,,0.163566340505,21.0081361697,汽车零部件,2022-07-06
143,301306,西测测试,0.13,50120791.47,16.596642784,-42.9056,7925430.0,-13.41,-77.968,5.784340223223,2.19,-0.198762730806,53.6525602276,专业服务,2022-07-06
144,430623,箭鹿股份,0.06,96557188.76,30.1625017078,-47.9182,9976563.07,213.84,-47.219,3.937972636494,1.66,-0.331800953506,25.8098673232,,2022-07-05
145,001336,楚环科技,0.27,120180829.19,128.1597794683,-55.6954,16335123.73,205.84,-62.6849,5.224076343563,5.33,-0.795398481586,32.7832106631,专用设备,2022-07-04
146,688071,华依科技,-0.05,50096406.19,75.4149439577,-61.926,-3652485.39,-4.185774136,-111.0093,6.324284683895,-0.01,-0.340681709713,40.5525903853,汽车零部件,2022-07-02
147,002776,ST柏龙,-0.06,10028168.57,-76.1483277918,-71.8308,-31581020.11,-94.03,97.8102,0.367437582073,-14.79,-0.004175161997,-47.6300091752,纺织服装,2022-07-02
148,000971,ST高升,-0.005,114408064.1,-34.2540525177,-34.7144,-51608921.08,-225.22,87.2541,0.758419895135,-6.98,-0.058624193892,-8.6261474203,通信服务,2022-07-02
149,835401,杭摩集团,0.07,560805516.53,53.2731250412,-7.9217,16566341.39,65.6454289476,-47.9767,3.441667858562,2.02,-0.571911212344,10.2475016643,,2022-07-01
150,688375,国博电子,0.28,604646591.82,68.2053788339,-28.2297,100310832.84,67.63,31.533,7.386109933583,3.86,-0.026687926167,31.7638264564,电子元件,2022-07-01
151,688231,隆达股份,0.09,194623624.19,46.7628352357,-11.4759,15953033.54,1156.96,-61.2132,2.809569802523,3.11,-0.738008654528,20.1355801142,有色金属,2022-07-01
152,600781,*ST辅仁,-0.28,349318866.29,-29.3018479962,50.5173,-177265301.53,-360.83,93.3534,0.992954086038,-26.3,0.01335204919,46.7431808491,化学制药,2022-07-01
153,873848,晨光科技,0.1383,793615421.21,,,19359754.91,,,2.861404040714,4.95,-1.425044380643,5.2796189086,,2022-06-30
